movie_id,actor
499549,Joel David Moore
499549,CCH Pounder
499549,Wes Studi
449088,Orlando Bloom
449088,Johnny Depp
449088,Jack Davenport
2379713,Rory Kinnear
2379713,Christoph Waltz
2379713,Stephanie Sigman
1345836,Christian Bale
1345836,Tom Hardy
1345836,Joseph Gordon-Levitt
5289954,Rob Walker
5289954,Doug Walker
401729,Samantha Morton
401729,Daryl Sabara
401729,Polly Walker
398286,Donna Murphy
398286,Brad Garrett
398286,M.C. Gainey
2395427,Robert Downey Jr.
2395427,Chris Hemsworth
2395427,Scarlett Johansson
417741,Daniel Radcliffe
417741,Alan Rickman
417741,Rupert Grint
2975590,Lauren Cohan
2975590,Henry Cavill
2975590,Alan D. Purwin
348150,Marlon Brando
348150,Kevin Spacey
348150,Frank Langella
830515,Mathieu Amalric
830515,Giancarlo Giannini
830515,Rory Kinnear
383574,Orlando Bloom
383574,Johnny Depp
383574,Jack Davenport
1210819,Ruth Wilson
1210819,Johnny Depp
1210819,Tom Wilkinson
770828,Christopher Meloni
770828,Henry Cavill
770828,Harry Lennix
499448,Pierfrancesco Favino
499448,Peter Dinklage
499448,Damián Alcázar
1298650,Sam Claflin
1298650,Johnny Depp
1298650,Stephen Graham
1409024,Michael Stuhlbarg
1409024,Will Smith
1409024,Nicole Scherzinger
2310332,Adam Brown
2310332,Aidan Turner
2310332,James Nesbitt
948470,Andrew Garfield
948470,Emma Stone
948470,Chris Zylka
955308,William Hurt
955308,Mark Addy
955308,Scott Grimes
1170358,Adam Brown
1170358,Aidan Turner
1170358,James Nesbitt
385752,Eva Green
385752,Christopher Lee
385752,Kristin Scott Thomas
120338,Kate Winslet
120338,Leonardo DiCaprio
120338,Gloria Stuart
3498820,Scarlett Johansson
3498820,Robert Downey Jr.
3498820,Chris Evans
1440129,Alexander Skarsgård
1440129,Liam Neeson
1440129,Tadanobu Asano
369610,Judy Greer
369610,Bryce Dallas Howard
369610,Omar Sy
316654,James Franco
316654,J.K. Simmons
316654,Kirsten Dunst
1300854,Jon Favreau
1300854,Robert Downey Jr.
1300854,Don Cheadle
376994,Kelsey Grammer
376994,Hugh Jackman
376994,Daniel Cudmore
1453405,Tyler Labine
1453405,Steve Buscemi
1453405,Sean Hayes
1055369,Kevin Dunn
1055369,Glenn Morshower
1055369,Ramon Rodriguez
2109248,Sophia Myles
2109248,Bingbing Li
2109248,Kelsey Grammer
1872181,Andrew Garfield
1872181,Emma Stone
1872181,B.J. Novak
1216475,Thomas Kretschmann
1216475,Joe Mantegna
1216475,Eddie Izzard
1133985,Temuera Morrison
1133985,Ryan Reynolds
1133985,Taika Waititi
435761,John Ratzenberger
435761,Tom Hanks
435761,Don Rickles
438488,Bryce Dallas Howard
438488,Christian Bale
438488,Common
2820852,Paul Walker
2820852,Jason Statham
2820852,Vin Diesel
816711,Brad Pitt
816711,Peter Capaldi
816711,Mireille Enos
1877832,Peter Dinklage
1877832,Jennifer Lawrence
1877832,Hugh Jackman
1408101,Bruce Greenwood
1408101,Benedict Cumberbatch
1408101,Noel Clarke
1351685,Ewen Bremner
1351685,Eddie Marsan
1351685,Ralph Brown
473075,Richard Coyle
473075,Jake Gyllenhaal
473075,Reece Ritchie
1663662,Clifton Collins Jr.
1663662,Charlie Hunnam
1663662,Larry Joe Campbell
1399103,Lester Speight
1399103,Glenn Morshower
1399103,Kevin Dunn
367882,Ray Winstone
367882,Harrison Ford
367882,Jim Broadbent
1979388,Jack McGraw
1979388,A.J. Buckley
1979388,Peter Sohn
1217209,John Ratzenberger
1217209,Kelly Macdonald
1217209,Julie Walters
2660888,Melissa Roxburgh
2660888,Sofia Boutella
2660888,Lydia Wilson
910970,Fred Willard
910970,John Ratzenberger
910970,Jeff Garlin
293564,Dana Ivey
293564,Tzi Ma
293564,Noémie Lenoir
1190080,Liam James
1190080,Oliver Platt
1190080,Tom McCarthy
1067106,Colin Firth
1067106,Robin Wright
1067106,Gary Oldman
1617661,Mila Kunis
1617661,Channing Tatum
1617661,Eddie Redmayne
363771,Kiran Shah
363771,Jim Broadbent
363771,Shane Rangi
3385516,Michael Fassbender
3385516,Jennifer Lawrence
3385516,Tye Sheridan
468569,Heath Ledger
468569,Christian Bale
468569,Morgan Freeman
1049413,Delroy Lindo
1049413,John Ratzenberger
1049413,Jess Harnell
892782,Rainn Wilson
892782,Amy Poehler
892782,Stephen Colbert
371746,Jeff Bridges
371746,Robert Downey Jr.
371746,Jon Favreau
970179,Christopher Lee
970179,Chloë Grace Moretz
970179,Ray Winstone
120891,Salma Hayek
120891,Will Smith
120891,Bai Ling
859163,Brendan Fraser
859163,Jet Li
859163,Russell Wong
1386697,Robin Atkin Downes
