movie_id,director
499549,James Cameron
449088,Gore Verbinski
2379713,Sam Mendes
1345836,Christopher Nolan
5289954,Doug Walker
401729,Andrew Stanton
398286,Nathan Greno
2395427,Joss Whedon
417741,David Yates
2975590,Zack Snyder
348150,Bryan Singer
830515,Marc Forster
383574,Gore Verbinski
1210819,Gore Verbinski
770828,Zack Snyder
499448,Andrew Adamson
1298650,Rob Marshall
1409024,Barry Sonnenfeld
2310332,Peter Jackson
948470,Marc Webb
955308,Ridley Scott
1170358,Peter Jackson
385752,Chris Weitz
120338,James Cameron
3498820,Anthony Russo
1440129,Peter Berg
369610,Colin Trevorrow
316654,Sam Raimi
1300854,Shane Black
376994,Brett Ratner
1453405,Dan Scanlon
1055369,Michael Bay
2109248,Michael Bay
1872181,Marc Webb
1216475,John Lasseter
1133985,Martin Campbell
435761,Lee Unkrich
438488,McG
2820852,James Wan
816711,Marc Forster
1877832,Bryan Singer
1408101,J.J. Abrams
1351685,Bryan Singer
473075,Mike Newell
1663662,Guillermo del Toro
1399103,Michael Bay
367882,Steven Spielberg
1979388,Peter Sohn
1217209,Mark Andrews
2660888,Justin Lin
910970,Andrew Stanton
293564,Brett Ratner
1190080,Roland Emmerich
1067106,Robert Zemeckis
1617661,Lana Wachowski
363771,Andrew Adamson
3385516,Bryan Singer
468569,Christopher Nolan
1049413,Pete Docter
892782,Rob Letterman
371746,Jon Favreau
970179,Martin Scorsese
120891,Barry Sonnenfeld
859163,Rob Cohen
1386697,David Ayer
413099,Tom Shadyac
1631867,Doug Liman
114898,Kevin Reynolds
1046173,Stephen Sommers
2096673,Pete Docter
1228705,Jon Favreau
1735898,Rupert Sanders
1587310,Robert Stromberg
2103281,Matt Reeves
1335975,Carl Rinsch
1843866,Anthony Russo
892791,Mike Mitchell
1964418,Brad Bird
2245084,Don Hall
1772341,Rich Moore
338348,Robert Zemeckis
1628841,Roland Emmerich
892769,Dean DeBlois
181852,Jonathan Mostow
2015381,James Gunn
816692,Christopher Nolan
1375666,Christopher Nolan
903624,Peter Jackson
421715,David Fincher
1270798,Matthew Vaughn
1951266,Francis Lawrence
963966,Jon Turteltaub
409182,Wolfgang Petersen
2567026,James Bobin
413267,Chris Miller
803096,Duncan Jones
1340138,Alan Taylor
980970,Michael Apted
213149,Michael Bay
418279,Michael Bay
346491,Oliver Stone
373889,David Yates
330373,Mike Newell
448157,Peter Berg
480249,Francis Lawrence
367594,Tim Burton
382932,Brad Bird
372784,Christopher Nolan
479952,Eric Darnell
1078912,Shawn Levy
458525,Gavin Hood
242653,Lana Wachowski
2294629,Chris Buck
234215,Lana Wachowski
1981115,Alan Taylor
1392190,George Miller
808151,Ron Howard
800369,Kenneth Branagh
397892,Byron Howard
436339,Hoyt Yeatman
1646987,Jonathan Liebesman
1077368,Tim Burton
2381249,Christopher McQuarrie
780653,Joe Johnston
918940,David Yates
389790,Steve Hickner
1302011,Jennifer Yuh Nelson
938283,M. Night Shyamalan
317919,J.J. Abrams
2334879,Roland Emmerich
1305591,Simon Wells
424095,David Bowers
864835,Rob Minkoff
332452,Wolfgang Petersen
1277953,Eric Darnell
246460,Lee Tamahori
120591,Michael Bay
120912,Barry Sonnenfeld
442933,Robert Zemeckis
2267968,Alessandro Carloni
1229238,Brad Bird
1446192,Peter Ramsey
369441,Dean Parisot
325710,Edward Zwick
796366,J.J. Abrams
145487,Sam Raimi
1646971,Dean DeBlois
2404233,Alex Proyas
382992,Rob Cohen
409459,Zack Snyder
122151,Richard Donner
286716,Ang Lee
1583421,Jon M. Chu
318649,Breck Eisner
173840,Hironobu Sakaguchi
458339,Joe Johnston
143145,Michael Apted
311113,Peter Weir
1402488,George Miller
800080,Louis Leterrier
3691740,Steven Spielberg
1663202,Alejandro G. Iñárritu
1860353,David Soren
1192628,Gore Verbinski
1911658,Eric Darnell
440963,Paul Greengrass
441773,Mark Osborne
478970,Peyton Reed
1951264,Francis Lawrence
1673434,Bill Condon
407304,Steven Spielberg
172156,Michael Bay
448694,Chris Miller
944835,Phillip Noyce
1959490,Darren Aronofsky
983193,Steven Spielberg
304141,Alfonso Cuarón
455824,Baz Luhrmann
1815862,M. Night Shyamalan
130623,Eric Leighton
1680310,Matt Birch
2692250,Shawn Levy
1001526,Tom McGrath
241527,Chris Columbus
790736,Robert Schwentke
4262980,Hideaki Anno
325980,Gore Verbinski
1571403,Matt Birch
1951265,Francis Lawrence
382625,Ron Howard
2357291,Carlos Saldanha
290334,Bryan Singer
1596343,Justin Lin
1515091,Guy Ritchie
120657,John McTiernan
1194173,Tony Gilroy
118688,Joel Schumacher
170016,Ron Howard
319262,Roland Emmerich
120755,John Woo
177971,Wolfgang Petersen
486576,Tim Story
454876,Ang Lee
