movie_id,genre
499549,Action
499549,Adventure
499549,Fantasy
499549,Sci-Fi
449088,Action
449088,Adventure
449088,Fantasy
2379713,Action
2379713,Adventure
2379713,Thriller
1345836,Action
1345836,Thriller
5289954,Documentary
401729,Action
401729,Adventure
401729,Sci-Fi
398286,Adventure
398286,Animation
398286,Comedy
398286,Family
398286,Fantasy
398286,Musical
398286,Romance
2395427,Action
2395427,Adventure
2395427,Sci-Fi
417741,Adventure
417741,Family
417741,Fantasy
417741,Mystery
2975590,Action
2975590,Adventure
2975590,Sci-Fi
348150,Action
348150,Adventure
348150,Sci-Fi
830515,Action
830515,Adventure
383574,Action
383574,Adventure
383574,Fantasy
1210819,Action
1210819,Adventure
1210819,Western
770828,Action
770828,Adventure
770828,Fantasy
770828,Sci-Fi
499448,Action
499448,Adventure
499448,Family
499448,Fantasy
1298650,Action
1298650,Adventure
1298650,Fantasy
1409024,Action
1409024,Adventure
1409024,Comedy
1409024,Family
1409024,Fantasy
1409024,Sci-Fi
2310332,Adventure
2310332,Fantasy
948470,Action
948470,Adventure
948470,Fantasy
955308,Action
955308,Adventure
955308,Drama
955308,History
1170358,Adventure
1170358,Fantasy
385752,Adventure
385752,Family
385752,Fantasy
120338,Drama
120338,Romance
3498820,Action
3498820,Adventure
3498820,Sci-Fi
1440129,Action
1440129,Adventure
1440129,Sci-Fi
1440129,Thriller
369610,Action
369610,Adventure
369610,Sci-Fi
369610,Thriller
316654,Action
316654,Adventure
316654,Fantasy
316654,Romance
1300854,Action
1300854,Adventure
1300854,Sci-Fi
376994,Action
376994,Adventure
376994,Fantasy
376994,Sci-Fi
376994,Thriller
1453405,Adventure
1453405,Animation
1453405,Comedy
1453405,Family
1453405,Fantasy
1055369,Action
1055369,Adventure
1055369,Sci-Fi
2109248,Action
2109248,Adventure
2109248,Sci-Fi
1872181,Action
1872181,Adventure
1872181,Fantasy
1872181,Sci-Fi
1216475,Adventure
1216475,Animation
1216475,Comedy
1216475,Family
1216475,Sport
1133985,Action
1133985,Adventure
1133985,Sci-Fi
435761,Adventure
435761,Animation
435761,Comedy
435761,Family
435761,Fantasy
438488,Action
438488,Adventure
438488,Sci-Fi
2820852,Action
2820852,Crime
2820852,Thriller
816711,Action
816711,Adventure
816711,Horror
816711,Sci-Fi
816711,Thriller
1877832,Action
1877832,Adventure
1877832,Fantasy
1877832,Sci-Fi
1877832,Thriller
1408101,Action
1408101,Adventure
1408101,Sci-Fi
1351685,Adventure
1351685,Fantasy
473075,Action
473075,Adventure
473075,Fantasy
473075,Romance
1663662,Action
1663662,Adventure
1663662,Sci-Fi
1399103,Action
1399103,Adventure
1399103,Sci-Fi
367882,Action
367882,Adventure
367882,Fantasy
1979388,Adventure
1979388,Animation
1979388,Comedy
1979388,Family
1979388,Fantasy
1217209,Adventure
1217209,Animation
1217209,Comedy
1217209,Family
1217209,Fantasy
2660888,Action
2660888,Adventure
2660888,Sci-Fi
2660888,Thriller
910970,Adventure
910970,Animation
910970,Family
910970,Sci-Fi
293564,Action
293564,Comedy
293564,Crime
293564,Thriller
1190080,Action
1190080,Adventure
1190080,Sci-Fi
1067106,Animation
1067106,Drama
1067106,Family
1067106,Fantasy
1617661,Action
1617661,Adventure
1617661,Sci-Fi
363771,Adventure
363771,Family
363771,Fantasy
3385516,Action
3385516,Adventure
3385516,Sci-Fi
468569,Action
468569,Crime
468569,Drama
468569,Thriller
1049413,Adventure
1049413,Animation
1049413,Comedy
1049413,Family
892782,Action
892782,Adventure
892782,Animation
892782,Comedy
892782,Family
892782,Sci-Fi
371746,Action
371746,Adventure
371746,Sci-Fi
970179,Adventure
970179,Drama
970179,Family
970179,Mystery
120891,Action
120891,Comedy
120891,Sci-Fi
120891,Western
859163,Action
859163,Adventure
859163,Fantasy
859163,Horror
859163,Thriller
1386697,Action
1386697,Adventure
1386697,Comedy
1386697,Sci-Fi
413099,Comedy
413099,Family
413099,Fantasy
1631867,Action
1631867,Adventure
1631867,Sci-Fi
114898,Action
114898,Adventure
114898,Sci-Fi
114898,Thriller
1046173,Action
1046173,Adventure
1046173,Sci-Fi
1046173,Thriller
2096673,Adventure
2096673,Animation
2096673,Comedy
2096673,Drama
2096673,Family
2096673,Fantasy
1228705,Action
1228705,Adventure
1228705,Sci-Fi
1735898,Action
1735898,Adventure
1735898,Drama
1735898,Fantasy
1587310,Action
1587310,Adventure
1587310,Family
1587310,Fantasy
1587310,Romance
2103281,Action
2103281,Adventure
2103281,Drama
2103281,Sci-Fi
1335975,Action
1335975,Adventure
1335975,Drama
1335975,Fantasy
1843866,Action
1843866,Adventure
1843866,Sci-Fi
892791,Adventure
892791,Animation
892791,Comedy
892791,Family
892791,Fantasy
1964418,Action
1964418,Adventure
1964418,Family
1964418,Mystery
1964418,Sci-Fi
2245084,Action
2245084,Adventure
2245084,Animation
2245084,Comedy
2245084,Drama
2245084,Family
2245084,Sci-Fi
1772341,Adventure
1772341,Animation
1772341,Comedy
1772341,Family
1772341,Sci-Fi
338348,Adventure
338348,Animation
338348,Family
338348,Fantasy
1628841,Action
1628841,Adventure
1628841,Sci-Fi
892769,Adventure
892769,Animation
892769,Family
892769,Fantasy
181852,Action
181852,Sci-Fi
2015381,Action
2015381,Adventure
2015381,Sci-Fi
816692,Adventure
816692,Drama
816692,Sci-Fi
1375666,Action
1375666,Adventure
1375666,Sci-Fi
1375666,Thriller
903624,Adventure
903624,Fantasy
421715,Drama
421715,Fantasy
421715,Romance
1270798,Action
1270798,Adventure
1270798,Sci-Fi
1951266,Adventure
1951266,Sci-Fi
963966,Action
963966,Adventure
963966,Family
963966,Fantasy
409182,Action
409182,Adventure
409182,Drama
409182,Thriller
2567026,Adventure
2567026,Family
2567026,Fantasy
413267,Adventure
413267,Animation
413267,Comedy
413267,Family
413267,Fantasy
803096,Action
803096,Adventure
803096,Fantasy
1340138,Action
1340138,Adventure
1340138,Sci-Fi
980970,Adventure
980970,Family
980970,Fantasy
213149,Action
213149,Drama
213149,History
213149,Romance
213149,War
418279,Action
418279,Adventure
418279,Sci-Fi
346491,Action
346491,Adventure
346491,Biography
346491,Drama
346491,History
346491,Romance
346491,War
373889,Adventure
373889,Family
373889,Fantasy
373889,Mystery
330373,Adventure
330373,Family
330373,Fantasy
330373,Mystery
448157,Action
448157,Drama
480249,Drama
480249,Horror
480249,Sci-Fi
367594,Adventure
367594,Comedy
367594,Family
367594,Fantasy
382932,Animation
382932,Comedy
382932,Family
382932,Fantasy
372784,Action
372784,Adventure
479952,Action
479952,Adventure
479952,Animation
479952,Comedy
479952,Family
1078912,Adventure
1078912,Comedy
1078912,Family
1078912,Fantasy
458525,Action
458525,Adventure
458525,Fantasy
458525,Sci-Fi
458525,Thriller
242653,Action
242653,Sci-Fi
2294629,Adventure
2294629,Animation
2294629,Comedy
2294629,Family
2294629,Fantasy
2294629,Musical
234215,Action
234215,Sci-Fi
1981115,Action
1981115,Adventure
1981115,Fantasy
1392190,Action
1392190,Adventure
1392190,Sci-Fi
1392190,Thriller
808151,Mystery
808151,Thriller
800369,Action
800369,Adventure
800369,Fantasy
397892,Adventure
397892,Animation
397892,Comedy
397892,Drama
397892,Family
436339,Action
436339,Adventure
436339,Animation
436339,Comedy
436339,Family
436339,Fantasy
436339,Sci-Fi
1646987,Action
1646987,Adventure
1646987,Fantasy
1077368,Comedy
1077368,Fantasy
1077368,Horror
2381249,Action
2381249,Adventure
2381249,Thriller
780653,Drama
780653,Fantasy
780653,Horror
780653,Thriller
918940,Action
918940,Adventure
918940,Drama
918940,Romance
389790,Adventure
389790,Animation
389790,Comedy
389790,Family
1302011,Action
1302011,Adventure
1302011,Animation
1302011,Comedy
1302011,Family
938283,Action
938283,Adventure
938283,Family
938283,Fantasy
317919,Action
317919,Adventure
317919,Thriller
2334879,Action
2334879,Drama
2334879,Thriller
1305591,Action
1305591,Adventure
1305591,Animation
1305591,Comedy
1305591,Family
1305591,Sci-Fi
424095,Adventure
424095,Animation
424095,Comedy
424095,Family
864835,Adventure
864835,Animation
864835,Comedy
864835,Family
864835,Sci-Fi
332452,Adventure
1277953,Adventure
1277953,Animation
1277953,Comedy
1277953,Family
246460,Action
246460,Adventure
246460,Thriller
120591,Action
120591,Adventure
120591,Sci-Fi
120591,Thriller
120912,Action
120912,Adventure
120912,Comedy
120912,Family
120912,Fantasy
120912,Mystery
120912,Sci-Fi
442933,Action
442933,Adventure
442933,Animation
442933,Fantasy
2267968,Action
2267968,Adventure
2267968,Animation
2267968,Comedy
2267968,Family
1229238,Action
1229238,Adventure
1229238,Thriller
1446192,Adventure
1446192,Animation
1446192,Family
1446192,Fantasy
369441,Comedy
369441,Crime
325710,Action
325710,Drama
325710,History
325710,War
796366,Action
796366,Adventure
796366,Sci-Fi
145487,Action
145487,Adventure
145487,Fantasy
145487,Romance
1646971,Action
1646971,Adventure
1646971,Animation
1646971,Comedy
1646971,Family
1646971,Fantasy
2404233,Action
2404233,Adventure
2404233,Fantasy
382992,Action
382992,Adventure
382992,Sci-Fi
382992,Thriller
409459,Action
409459,Drama
409459,Mystery
409459,Sci-Fi
122151,Action
122151,Crime
122151,Thriller
286716,Action
286716,Sci-Fi
1583421,Action
1583421,Adventure
1583421,Sci-Fi
1583421,Thriller
318649,Action
318649,Adventure
318649,Comedy
318649,Thriller
173840,Action
173840,Adventure
173840,Animation
173840,Fantasy
173840,Romance
173840,Sci-Fi
458339,Action
458339,Adventure
458339,Sci-Fi
143145,Action
143145,Adventure
143145,Thriller
311113,Action
311113,Adventure
311113,Drama
311113,History
311113,War
1402488,Animation
1402488,Comedy
1402488,Family
1402488,Musical
800080,Action
800080,Adventure
800080,Sci-Fi
86759,Action
86759,Crime
86759,Drama
86759,Mystery
86759,Thriller
3691740,Adventure
3691740,Family
3691740,Fantasy
1663202,Adventure
1663202,Drama
1663202,Thriller
1663202,Western
1860353,Adventure
1860353,Animation
1860353,Comedy
1860353,Family
1860353,Sport
1192628,Adventure
1192628,Animation
1192628,Comedy
1192628,Family
1192628,Western
1911658,Adventure
1911658,Animation
1911658,Comedy
1911658,Family
440963,Action
440963,Mystery
440963,Thriller
441773,Action
441773,Adventure
441773,Animation
441773,Comedy
441773,Family
478970,Action
478970,Adventure
478970,Comedy
478970,Sci-Fi
1951264,Adventure
1951264,Sci-Fi
1951264,Thriller
1673434,Adventure
1673434,Drama
1673434,Fantasy
1673434,Romance
407304,Adventure
407304,Sci-Fi
407304,Thriller
172156,Action
172156,Comedy
172156,Crime
172156,Thriller
448694,Action
448694,Adventure
448694,Animation
448694,Comedy
448694,Family
448694,Fantasy
944835,Action
944835,Crime
944835,Mystery
944835,Thriller
1959490,Action
1959490,Adventure
1959490,Drama
983193,Action
983193,Adventure
983193,Family
983193,Mystery
304141,Adventure
304141,Family
304141,Fantasy
304141,Mystery
455824,Adventure
455824,Drama
455824,Romance
455824,War
1815862,Action
1815862,Adventure
1815862,Sci-Fi
130623,Adventure
130623,Animation
130623,Family
130623,Thriller
1680310,Action
1680310,Fantasy
2692250,Adventure
2692250,Comedy
2692250,Family
2692250,Fantasy
1001526,Action
1001526,Animation
1001526,Comedy
1001526,Family
1001526,Sci-Fi
241527,Adventure
241527,Family
241527,Fantasy
790736,Action
790736,Comedy
790736,Fantasy
4262980,Action
4262980,Adventure
4262980,Drama
4262980,Horror
4262980,Sci-Fi
325980,Action
325980,Adventure
325980,Fantasy
1571403,Fantasy
1951265,Adventure
1951265,Sci-Fi
1951265,Thriller
382625,Mystery
382625,Thriller
2357291,Adventure
2357291,Animation
2357291,Comedy
2357291,Family
2357291,Musical
290334,Action
290334,Adventure
290334,Fantasy
290334,Sci-Fi
290334,Thriller
1596343,Action
1596343,Crime
1596343,Thriller
1515091,Action
1515091,Adventure
1515091,Crime
1515091,Mystery
1515091,Thriller
120657,Action
120657,Adventure
120657,History
1194173,Action
1194173,Adventure
1194173,Thriller
118688,Action
170016,Comedy
170016,Family
170016,Fantasy
319262,Action
319262,Adventure
319262,Sci-Fi
319262,Thriller
120755,Action
120755,Adventure
120755,Thriller
177971,Action
177971,Adventure
177971,Drama
177971,Thriller
486576,Action
486576,Adventure
486576,Sci-Fi
486576,Thriller
454876,Adventure
454876,Drama
454876,Fantasy
259324,Action
259324,Fantasy
259324,Thriller
4196776,Action
4196776,Thriller
305357,Action
305357,Adventure
305357,Comedy
305357,Crime
1446714,Adventure
1446714,Mystery
1446714,Sci-Fi
243585,Adventure
243585,Animation
243585,Comedy
243585,Family
243585,Fantasy
1535108,Action
1535108,Drama
1535108,Sci-Fi
1535108,Thriller
296572,Action
296572,Adventure
296572,Sci-Fi
296572,Thriller
811080,Action
811080,Family
811080,Sport
1341188,Comedy
1341188,Drama
1341188,Romance
1013743,Action
1013743,Comedy
1013743,Romance
1483013,Action
1483013,Adventure
1483013,Mystery
1483013,Sci-Fi
121766,Action
121766,Adventure
121766,Fantasy
121766,Sci-Fi
121765,Action
121765,Adventure
121765,Fantasy
121765,Sci-Fi
198781,Adventure
198781,Animation
198781,Comedy
198781,Family
198781,Fantasy
1430132,Action
1430132,Adventure
1430132,Sci-Fi
1430132,Thriller
120915,Action
120915,Adventure
120915,Fantasy
120915,Sci-Fi
481499,Adventure
481499,Animation
481499,Comedy
481499,Family
481499,Fantasy
463872,Adventure
463872,Comedy
463872,Family
463872,Fantasy
245562,Action
245562,Drama
245562,War
2381991,Action
2381991,Adventure
2381991,Drama
2381991,Fantasy
1454468,Adventure
1454468,Drama
1454468,Sci-Fi
1454468,Thriller
118928,Action
118928,Adventure
118928,Thriller
3949660,Action
3949660,Adventure
3949660,Comedy
3949660,Sci-Fi
477347,Action
477347,Adventure
477347,Comedy
477347,Family
477347,Fantasy
2126355,Action
2126355,Adventure
2126355,Drama
2126355,Thriller
120347,Action
120347,Adventure
120347,Thriller
187393,Action
187393,Drama
187393,History
187393,War
349903,Crime
349903,Thriller
356910,Action
356910,Comedy
356910,Crime
356910,Romance
356910,Thriller
2908446,Adventure
2908446,Sci-Fi
2908446,Thriller
338751,Biography
338751,Drama
1320261,Adventure
1320261,Comedy
1320261,Family
1320261,Fantasy
990407,Action
990407,Comedy
990407,Crime
990407,Sci-Fi
990407,Thriller
84967,Action
84967,Adventure
84967,Crime
1253863,Action
1253863,Drama
1253863,Fantasy
1253863,War
472181,Adventure
472181,Animation
472181,Comedy
472181,Family
472181,Fantasy
299172,Animation
299172,Comedy
299172,Family
299172,Music
299172,Western
3410834,Action
3410834,Adventure
3410834,Mystery
3410834,Sci-Fi
3410834,Thriller
433035,Action
433035,Drama
433035,Sci-Fi
433035,Sport
2017020,Adventure
2017020,Animation
2017020,Comedy
2017020,Family
2017020,Fantasy
120179,Action
120179,Crime
120179,Romance
120179,Thriller
1731141,Action
1731141,Sci-Fi
337978,Action
337978,Adventure
337978,Thriller
120737,Action
120737,Adventure
120737,Drama
120737,Fantasy
248667,Biography
248667,Drama
248667,Sport
312528,Adventure
312528,Comedy
312528,Family
312528,Fantasy
343818,Action
343818,Mystery
343818,Sci-Fi
343818,Thriller
320661,Action
320661,Adventure
320661,Drama
320661,History
320661,War
164912,Adventure
164912,Comedy
164912,Family
164912,Fantasy
780521,Animation
780521,Family
780521,Fantasy
780521,Musical
780521,Romance
3659388,Adventure
3659388,Drama
3659388,Sci-Fi
1869849,Comedy
141907,Comedy
141907,Romance
187078,Action
187078,Crime
187078,Thriller
172495,Action
172495,Drama
172495,Romance
181689,Action
181689,Mystery
181689,Sci-Fi
181689,Thriller
295297,Adventure
295297,Family
295297,Fantasy
295297,Mystery
103064,Action
103064,Sci-Fi
1152836,Biography
1152836,Crime
1152836,Drama
1152836,History
