movie_id,title,year,imdb_score,director
499549,Avatar ,2009.0,7.9,James Cameron
449088,Pirates of the Caribbean: At World's End ,2007.0,7.1,Gore Verbinski
2379713,Spectre ,2015.0,6.8,Sam Mendes
1345836,The Dark Knight Rises ,2012.0,8.5,Christopher Nolan
5289954,Star Wars: Episode VII - The Force Awakens             ,,7.1,Doug Walker
401729,John Carter ,2012.0,6.6,Andrew Stanton
398286,Tangled ,2010.0,7.8,Nathan Greno
2395427,Avengers: Age of Ultron ,2015.0,7.5,Joss Whedon
417741,Harry Potter and the Half-Blood Prince ,2009.0,7.5,David Yates
2975590,Batman v Superman: Dawn of Justice ,2016.0,6.9,Zack Snyder
348150,Superman Returns ,2006.0,6.1,Bryan Singer
830515,Quantum of Solace ,2008.0,6.7,Marc Forster
383574,Pirates of the Caribbean: Dead Man's Chest ,2006.0,7.3,Gore Verbinski
1210819,The Lone Ranger ,2013.0,6.5,Gore Verbinski
770828,Man of Steel ,2013.0,7.2,Zack Snyder
499448,The Chronicles of Narnia: Prince Caspian ,2008.0,6.6,Andrew Adamson
1298650,Pirates of the Caribbean: On Stranger Tides ,2011.0,6.7,Rob Marshall
1409024,Men in Black 3 ,2012.0,6.8,Barry Sonnenfeld
2310332,The Hobbit: The Battle of the Five Armies ,2014.0,7.5,Peter Jackson
948470,The Amazing Spider-Man ,2012.0,7.0,Marc Webb
955308,Robin Hood ,2010.0,6.7,Ridley Scott
1170358,The Hobbit: The Desolation of Smaug ,2013.0,7.9,Peter Jackson
385752,The Golden Compass ,2007.0,6.1,Chris Weitz
120338,Titanic ,1997.0,7.7,James Cameron
3498820,Captain America: Civil War ,2016.0,8.2,Anthony Russo
1440129,Battleship ,2012.0,5.9,Peter Berg
369610,Jurassic World ,2015.0,7.0,Colin Trevorrow
316654,Spider-Man 2 ,2004.0,7.3,Sam Raimi
1300854,Iron Man 3 ,2013.0,7.2,Shane Black
376994,X-Men: The Last Stand ,2006.0,6.8,Brett Ratner
1453405,Monsters University ,2013.0,7.3,Dan Scanlon
1055369,Transformers: Revenge of the Fallen ,2009.0,6.0,Michael Bay
2109248,Transformers: Age of Extinction ,2014.0,5.7,Michael Bay
1872181,The Amazing Spider-Man 2 ,2014.0,6.7,Marc Webb
1216475,Cars 2 ,2011.0,6.3,John Lasseter
1133985,Green Lantern ,2011.0,5.6,Martin Campbell
435761,Toy Story 3 ,2010.0,8.3,Lee Unkrich
438488,Terminator Salvation ,2009.0,6.6,McG
